orderID,price,quantity,type,side,fullyFilled
431,74204,387,1,1,1
440,74204,387,1,0,0
302,74205,109,1,1,0
440,74205,109,1,0,1
302,74205,266,1,1,0
440,74205,266,1,0,1
437,74192,424,1,0,1
442,74192,424,1,1,0
435,74190,12,1,0,0
442,74190,12,1,1,1
435,74190,145,1,0,1
442,74190,145,1,1,0
421,74189,170,1,0,0
442,74189,170,1,1,1
198,74184,120,0,0,1
302,74205,4,1,1,1
445,74205,4,1,0,0
324,74207,221,1,1,0
445,74207,221,1,0,1
75,74181,236,0,0,1
324,74207,11,1,1,1
450,74207,11,1,0,0
439,74208,189,1,1,0
450,74208,189,1,0,1
264,74222,136,0,1,1
439,74208,85,1,1,1
454,74208,85,1,0,0
449,74208,295,1,1,0
454,74208,295,1,0,1
448,74192,145,1,0,0
454,74192,145,1,1,1
449,74208,4,1,1,1
454,74208,4,1,0,0
280,74210,130,1,1,1
454,74210,130,1,0,0
104,74210,102,1,1,1
454,74210,102,1,0,0
363,74210,50,1,1,0
454,74210,50,1,0,1
37,74216,463,0,1,1
363,74210,151,1,1,1
104,74210,151,1,0,0
357,74210,8,1,1,0
104,74210,8,1,0,1
363,74209,242,1,1,0
455,74209,242,1,0,1
252,74218,257,0,1,1
457,74194,121,1,0,1
455,74194,121,1,1,0
448,74192,10,1,0,0
455,74192,10,1,1,1
132,74221,229,0,1,1
448,74192,248,1,0,0
132,74192,248,1,1,1
448,74192,88,1,0,1
455,74192,88,1,1,0
449,74190,311,1,0,0
455,74190,311,1,1,1
89,74186,185,0,0,1
363,74209,105,1,1,1
89,74209,105,1,0,0
357,74210,194,1,1,1
89,74210,194,1,0,0
187,74210,63,1,1,0
89,74210,63,1,0,1
187,74210,174,1,1,1
89,74210,174,1,0,0
387,74210,280,1,1,0
89,74210,280,1,0,1
449,74190,43,1,0,1
89,74190,43,1,1,0
421,74189,172,1,0,1
89,74189,172,1,1,0
385,74189,223,1,0,0
89,74189,223,1,1,1
385,74189,179,1,0,1
449,74189,179,1,1,0
419,74189,158,1,0,1
449,74189,158,1,1,0
431,74189,28,1,0,0
449,74189,28,1,1,1
431,74189,142,1,0,0
458,74189,142,1,1,1
89,74203,280,1,1,1
463,74203,280,1,0,0
387,74210,56,1,1,0
463,74210,56,1,0,1
464,74192,225,1,0,1
465,74192,225,1,1,0
458,74191,148,1,0,1
465,74191,148,1,1,0
431,74189,5,1,0,0
465,74189,5,1,1,1
387,74210,55,1,1,1
464,74210,55,1,0,0
399,74210,324,1,1,0
464,74210,324,1,0,1
431,74189,183,1,0,1
387,74189,183,1,1,0
97,74188,184,1,0,1
387,74188,184,1,1,0
6,74188,86,1,0,0
387,74188,86,1,1,1
469,74204,115,1,1,0
471,74204,115,1,0,1
468,74191,237,1,0,1
471,74191,237,1,1,0
6,74188,131,1,0,0
471,74188,131,1,1,1
6,74188,60,1,0,1
471,74188,60,1,1,0
170,74188,117,1,0,1
471,74188,117,1,1,0
10,74188,6,1,0,0
471,74188,6,1,1,1
398,74180,490,0,0,1
10,74188,279,1,0,1
398,74188,279,1,1,0
216,74188,182,1,0,0
398,74188,182,1,1,1
398,0,0,1,1,1
352,74215,192,0,1,1
469,74204,158,1,1,1
170,74204,158,1,0,0
470,74206,9,1,1,0
170,74206,9,1,0,1
194,74223,189,0,1,1
10,74198,147,1,0,0
6,74198,147,1,1,1
470,74206,253,1,1,0
473,74206,253,1,0,1
473,0,0,1,0,1
2,74214,57,0,1,1
203,74219,197,0,1,1
10,74198,350,1,0,1
475,74198,350,1,1,0
472,74191,129,1,0,0
475,74191,129,1,1,1
472,74191,265,1,0,1
475,74191,265,1,1,0
475,74191,167,1,1,1
476,74191,167,1,0,0
475,74194,179,1,0,1
477,74194,179,1,1,0
476,74193,301,1,0,0
477,74193,301,1,1,1
